	PRS	Cluster1	Cluster2	U_stat	p_value	n1	n2	adj_p_value
24	IBD_CD_PRS	1	2	1519	0.000026	50	40	0.001248
28	IBD_CD_PRS	2	4	243	0.000043	40	29	0.002064
21	Height_PRS	2	3	1025.5	0.001508	40	36	0.072384
18	Height_PRS	1	2	651.5	0.004716	50	40	0.226368
0	ADHD_PRS	1	2	681	0.009704	50	40	0.465792
1	ADHD_PRS	1	3	616	0.013076	50	36	0.627648
22	Height_PRS	2	4	773	0.019274	40	29	0.925152
29	IBD_CD_PRS	3	4	355	0.028	36	29	1.344
40	Intelligent_PRS	2	4	423	0.057105	40	29	2.74104
17	EA_PRS	3	4	379.5	0.060935	36	29	2.92488
25	IBD_CD_PRS	1	3	1106.5	0.071341	50	36	3.424368
27	IBD_CD_PRS	2	3	555.5	0.087983	40	36	4.223184
8	BMI_PRS	1	4	567.5	0.110295	50	29	5.29416
4	ADHD_PRS	2	4	710	0.115422	40	29	5.540256
36	Intelligent_PRS	1	2	1193	0.11803	50	40	5.66544
7	BMI_PRS	1	3	723	0.122328	50	36	5.871744
34	IBD_UC_PRS	2	4	453	0.124088	40	29	5.956224
5	ADHD_PRS	3	4	633	0.144773	36	29	6.949104
6	BMI_PRS	1	2	821	0.147215	50	40	7.06632
33	IBD_UC_PRS	2	3	599	0.209986	40	36	10.079328
46	NAFLD_PRS	2	4	683.5	0.210464	40	29	10.102272
45	NAFLD_PRS	2	3	839.5	0.215563	40	36	10.347024
13	EA_PRS	1	3	1030	0.256957	50	36	12.333936
16	EA_PRS	2	4	496	0.310069	40	29	14.883312
30	IBD_UC_PRS	1	2	1123.5	0.317904	50	40	15.259392
23	Height_PRS	3	4	455.5	0.38375	36	29	18.42
39	Intelligent_PRS	2	3	636	0.385032	40	36	18.481536
14	EA_PRS	1	4	640	0.390095	50	29	18.72456
15	EA_PRS	2	3	802	0.396519	40	36	19.032912
19	Height_PRS	1	3	992	0.423136	50	36	20.310528
32	IBD_UC_PRS	1	4	646.5	0.427569	50	29	20.523312
2	ADHD_PRS	1	4	648	0.436523	50	29	20.953104
43	NAFLD_PRS	1	3	978	0.497402	50	36	23.875296
38	Intelligent_PRS	1	4	661	0.518373	50	29	24.881904
41	Intelligent_PRS	3	4	474	0.530759	36	29	25.476432
44	NAFLD_PRS	1	4	783.5	0.555149	50	29	26.647152
42	NAFLD_PRS	1	2	930	0.572489	50	40	27.479472
35	IBD_UC_PRS	3	4	482	0.602172	36	29	28.904256
26	IBD_CD_PRS	1	4	684.5	0.68412	50	29	32.83776
31	IBD_UC_PRS	1	3	861	0.736102	50	36	35.332896
10	BMI_PRS	2	4	554.5	0.761186	40	29	36.536928
12	EA_PRS	1	2	1035	0.779371	50	40	37.409808
11	BMI_PRS	3	4	503	0.807116	36	29	38.741568
3	ADHD_PRS	2	3	700	0.839244	40	36	40.283712
37	Intelligent_PRS	1	3	921	0.857583	50	36	41.163984
20	Height_PRS	1	4	712.5	0.902856	50	29	43.337088
9	BMI_PRS	2	3	713	0.946087	40	36	45.412176
47	NAFLD_PRS	3	4	519.5	0.97893	36	29	46.98864
