amino acid,cluster 1 min,cluster 1 max,cluster 1 change,,cluster 2 min,cluster 2 max,cluster 2 change,,cluster 3 min,cluster 3 max,cluster 3 change,,cluster 4 min,cluster 4 max,cluster 4 change
alanine,221.8,540.8,-111.7776656,,144.1,793.8,-141.8930166,,236.7,999.1,-48.55034388,,216.6,715.5,-173.3630823
arginine,24.9,128.8,-19.36922452,,14.6,82.3,-30.38573001,,31.8,147.7,-7.063185189,,24.1,108.7,-21.81331372
asparagine,38.8,88,22.14283068,,26.3,74.6,24.81792098,,39.8,90.8,12.44782878,,41.3,81.1,24.14411922
aspartic_acid,2.5,17.2,5.721837855,,2.2,10.2,-3.573226678,,1.9,18,-1.937250348,,2.5,7.8,-4.435443004
citrulline,9.9,37.1,14.07235977,,7.9,34.2,19.43095935,,14.4,53.9,8.503907564,,13.8,48.9,18.33975868
glutamic_acid,38.3,111,26.75146831,,28.2,114.7,-18.36736333,,27.6,104.2,-8.426810825,,28,102.1,-22.65961061
glutamine,474,1230.5,289.3380093,,315.1,1029.8,312.3742285,,527.4,906,144.6718358,,403.1,929.9,301.1825501
glycine,154.8,395.9,-59.63172174,,96.1,315.1,-80.31139627,,119.2,532,58.47266715,,171.9,377.2,-73.93895376
histidine,48.8,109.7,37.06591602,,43.8,95.8,32.49657386,,52.8,125.5,23.45502709,,50.5,103.7,37.77168629
hydroxyproline,11.7,42.9,21.98719987,,9.2,36.8,26.36428464,,10.2,151.7,16.47548825,,6.8,49.8,31.03239053
isoleucine,37.8,89.3,37.21107478,,25.4,87.6,37.39623286,,44.3,105.4,25.11309765,,38.9,82.3,47.55499304
leucine,67.7,138.6,66.24365752,,46.5,134.9,55.93338501,,65.1,172.6,42.16143764,,64,124.9,75.28127636
lysine,63.6,183.5,64.33255334,,42,184.9,-56.40524383,,68.2,218.9,50.42608917,,73.6,200,88.64655929
methionine,16.7,40.4,16.1408703,,12.1,28.5,-7.873876912,,16.3,46.9,9.05727898,,14.1,34.4,19.59041845
ornithine,43.9,91.8,-18.26645711,,24.2,86.7,37.16201183,,40.1,155.2,20.6329015,,37.3,100,-22.17676052
phenylalanine,27.2,206.3,46.1720255,,37.1,120.2,-30.88306015,,47.3,131.9,30.08795905,,47.7,110,64.23745373
proline,179.6,528.2,138.5800925,,182.5,501.7,194.4242745,,206.8,662.5,94.46183737,,201,551.7,171.0451781
serine,103.1,240.7,67.09873231,,55,181,-35.88170809,,108.6,217.4,32.66552904,,105.6,221.7,89.31412082
taurine,13.9,190.8,34.243078,,6,59.4,-33.30613465,,0.8,134.5,-16.03264024,,23.4,96.5,-35.77748362
threonine,59,141.5,45.11960102,,24.7,132.1,-58.55757325,,56.3,188.3,32.34363268,,52,179,58.33895694
trytophan,16.5,84.1,35.07600888,,14.6,64.1,-22.67834282,,20.2,97.7,24.07770683,,21.9,76.3,38.85950145
tyrosine,30.7,138.6,63.94662217,,27.3,112.9,-34.5242178,,33.3,160.1,32.00392414,,41.9,110.6,80.70292868
valine,118.2,270.9,81.71082474,,73.9,213.2,-55.70204384,,123,382.4,57.71342163,,109,225.5,115.4624337
