feature	cluster 1	cluster 2	cluster 3	cluster 4
4-pyridoxic_acid	1.349019169	2.434851049	1.119254376	2.160836715
alanine	-111.7776656	-141.8930166	-48.55034388	-173.3630823
arginine	-19.36922452	-30.38573001	-7.063185189	-21.81331372
asparagine	22.14283068	24.81792098	12.44782878	24.14411922
aspartic_acid	5.721837855	-3.573226678	-1.937250348	-4.435443004
citrulline	14.07235977	19.43095935	8.503907564	18.33975868
glutamic_acid	26.75146831	-18.36736333	-8.426810825	-22.65961061
glutamine	289.3380093	312.3742285	144.6718358	301.1825501
glycine	-59.63172174	-80.31139627	58.47266715	-73.93895376
histidine	37.06591602	32.49657386	23.45502709	37.77168629
hydroxyproline	21.98719987	26.36428464	16.47548825	31.03239053
isoleucine	37.21107478	37.39623286	25.11309765	47.55499304
leucine	66.24365752	55.93338501	42.16143764	75.28127636
lysine	64.33255334	-56.40524383	50.42608917	88.64655929
methionine	16.1408703	-7.873876912	9.05727898	19.59041845
nicotinamide	1.832281675	-0.685765242	0.852528223	-1.083599997
ornithine	-18.26645711	37.16201183	20.6329015	-22.17676052
pantothenic_acid	1.85059681	2.154605576	1.485529131	2.273139902
phenylalanine	46.1720255	-30.88306015	30.08795905	64.23745373
proline	138.5800925	194.4242745	94.46183737	171.0451781
riboflavin	162.8576581	227.3133954	125.0427528	255.7195304
serine	67.09873231	-35.88170809	32.66552904	89.31412082
taurine	34.243078	-33.30613465	-16.03264024	-35.77748362
threonine	45.11960102	-58.55757325	32.34363268	58.33895694
trytophan	35.07600888	-22.67834282	24.07770683	38.85950145
tyrosine	63.94662217	-34.5242178	32.00392414	80.70292868
valine	81.71082474	-55.70204384	57.71342163	115.4624337
