subjectID	cluster_id
LCC1001	2
LCC1002	3
LCC1003	4
LCC1004	4
LCC1005	4
LCC1006	2
LCC1007	1
LCC1008	2
LCC1009	2
LCC1010	4
LCC1011	2
LCC1012	2
LCC1013	2
LCC1014	4
LCC1015	1
LCC1016	2
LCC1017	1
LCC1018	1
LCC1019	1
LCC1020	4
LCC1021	3
LCC1022	1
LCC1023	1
LCC1024	2
LCC1025	1
LCC1026	1
LCC1027	4
LCC1028	1
LCC1029	1
LCC1030	4
LCC1031	2
LCC1032	2
LCC1033	4
LCC1034	4
LCC1035	3
LCC1036	2
LCC1037	1
LCC1038	1
LCC1039	1
LCC1040	3
LCC1041	2
LCC1042	3
LCC1043	2
LCC1044	3
LCC1045	4
LCC1046	2
LCC1047	2
LCC1048	4
LCC1049	1
LCC1050	3
LCC1051	2
LCC1052	1
LCC1053	1
LCC1054	4
LCC1055	1
LCC1056	2
LCC1057	3
LCC1058	1
LCC1059	2
LCC1060	4
LCC1061	1
LCC1062	3
LCC1063	2
LCC1064	4
LCC1065	1
LCC1066	3
LCC1067	2
LCC1068	2
LCC1069	3
LCC1070	4
LCC1071	3
LCC1072	4
LCC1073	1
LCC1074	1
LCC1075	1
LCC1076	1
LCC1077	1
LCC1078	2
LCC1079	2
LCC1080	1
LCC1081	2
LCC1082	1
LCC1083	1
LCC1084	2
LCC1085	1
LCC1086	1
LCC1088	4
LCC1089	2
LCC1090	2
LCC1091	1
LCC1092	3
LCC1093	3
LCC1094	3
LCC1095	4
LCC1096	2
LCC1097	4
LCC1098	1
LCC1099	2
LCC1100	1
LCC1101	2
LCC1102	4
LCC1103	1
LCC1104	4
LCC1105	1
LCC1106	3
LCC1107	3
LCC1108	1
LCC1109	1
LCC1110	4
LCC1111	1
LCC1112	2
LCC1113	1
LCC1114	3
LCC1115	2
LCC1116	3
LCC1117	2
LCC1118	4
LCC1119	1
LCC1120	4
LCC1121	4
LCC1122	1
LCC1123	2
LCC1124	3
LCC1125	3
LCC1126	4
LCC1127	1
LCC1128	3
LCC1129	3
LCC1130	3
LCC1131	3
LCC1132	3
LCC1133	1
LCC1134	2
LCC1135	3
LCC1136	3
LCC1137	1
LCC1138	3
LCC1139	1
LCC1140	2
LCC1141	2
LCC1142	3
LCC1143	1
LCC1145	3
LCC1146	3
LCC1147	1
LCC1148	3
LCC1150	4
LCC1151	3
LCC1152	3
LCC1153	1
LCC1154	2
LCC1155	4
LCC1156	1
LCC1157	4
LCC1158	3
LCC1159	2
