param_Weight	choice_Feed	cognitive_score_52	vocalisation_52	WLZ_WHZ_52
-1.0	Feed_ERUSF (B)	95.99226379394531	4.9899187088012695	-1.6296851634979248
-1.0	Feed_Local RUSF (A)	96.0313491821289	4.969572067260742	-1.626612663269043
-0.5	Feed_ERUSF (B)	96.01183319091797	4.99008321762085	-1.629917025566101
-0.5	Feed_Local RUSF (A)	96.05050659179688	4.969186782836914	-1.6267650127410889
0.0	Feed_ERUSF (B)	96.0314712524414	4.99021053314209	-1.6300954818725586
0.0	Feed_Local RUSF (A)	96.07015228271484	4.969000339508057	-1.6268244981765747
0.5	Feed_ERUSF (B)	96.05134582519531	4.990418434143066	-1.6302225589752197
0.5	Feed_Local RUSF (A)	96.08963775634766	4.968678951263428	-1.6268203258514404
1.0	Feed_ERUSF (B)	96.07139587402344	4.990467548370361	-1.6303192377090454
1.0	Feed_Local RUSF (A)	96.10971069335938	4.968228340148926	-1.6267284154891968
