	dominance_gini	observed	diversity_shannon	diversity_gini_simpson	Faiths_PD
LCC1062_12	0.995416826946855	89	1.7502876136487	0.553343746244795	3.4016041900500005
LCC1094_12	0.994713355667178	59	2.47934176029868	0.863593665312021	3.51255833145
LCC1052_12	0.992594168426543	92	2.80090886101823	0.891728706184932	3.51074487275
LCC1134_12	0.995191384886928	65	2.36056948379407	0.84177313171216	3.06458273545
LCC2039_52	0.98866622899838	133	3.26426637276741	0.935355326796979	4.474348120149999
LCC1069_52	0.978543588510835	160	3.95050162779736	0.970840192989877	6.48308067515
LCC2047_52	0.992988273736847	106	2.60999527445152	0.829482666920474	3.10255661115
LCC2018_0	0.995596181910191	50	2.32042560597136	0.842077403622108	3.5203881064500004
LCC1019_0	0.995464918851511	71	2.23939737516211	0.790608655048483	2.62745882675
LCC2008_0	0.995334305681191	48	2.38232162666982	0.8512181871873	3.31343125445
LCC1107_12	0.99633806122449	72	1.97601970250396	0.742946298462	3.31525228595
LCC1098_0	0.993073478138626	70	2.71373049719989	0.870946991699696	3.73166625095
LCC1131_52	0.991759234207307	134	2.4689899118855	0.757689287090424	2.8829673829499995
LCC1006_52	0.993866238513018	105	2.57705832167386	0.867910882715172	2.6476727557500004
LCC1112_12	0.993399088358241	67	2.75746663189325	0.902105391077767	3.91430195545
LCC2044_0	0.997115563057335	50	1.60016969132703	0.575409766751921	3.12229285125
LCC1053_0	0.992266620295575	54	2.92039902993141	0.923288519706211	4.83306378085
LCC1006_12	0.992364994153338	78	2.74328491745557	0.86111905891914	3.91489752125
LCC1082_52	0.996672284614799	25	2.07082774453249	0.840968864203561	2.44993692175
LCC2020_0	0.992484323393801	78	2.5967413368829	0.807587799317559	3.64689750955
LCC2005_52	0.992061351020409	70	2.95704003187881	0.92553678217742	3.4891983791500003
LCC1040_12	0.994836341182475	69	2.34263979000142	0.81669624018928	3.80680256975
LCC1039_0	0.991819571428572	64	2.94721607167296	0.91066254363364	4.493959931649999
LCC1071_12	0.994301142967458	65	2.61032298175546	0.8870676904881	3.94111446505
LCC1019_52	0.98967946284734	143	2.90849440538698	0.859768176163515	3.68162658895
LCC1129_52	0.995458215265624	53	2.39508971911771	0.8682035420993	2.9250899451500003
LCC1159_12	0.986906989096076	120	3.36304841265669	0.933384386269773	4.64186103595
LCC1001_0	0.999120653424945	24	0.490819271275714	0.176242682589842	1.22172848195
LCC1010_12	0.986278832322117	118	3.40839893604308	0.93398292331766	4.84573354325
LCC1004_0	0.995050151242467	35	2.4869679549481	0.893059977150626	3.00765851605
LCC2019_0	0.994965525075426	60	2.36257423666927	0.825464837607548	3.3724102033500003
LCC1153_0	0.992765222854382	47	2.78375037568113	0.88712311696575	4.820954103749999
LCC1052_0	0.995263480548772	63	2.43105149981007	0.871633820329824	3.37242831155
LCC2006_0	0.996783273690017	35	2.04122295395198	0.81331483222336	2.5630832029500006
LCC1116_0	0.995846680029788	61	2.06685640340635	0.722311935667185	3.21865567565
LCC1010_52	0.980092289675383	186	3.83554936419285	0.962988313052967	5.954686250450001
LCC1028_0	0.995602532043311	66	2.26203990793992	0.804384107790565	3.2516657154500006
LCC2057_52	0.990779963785541	138	2.80228172569016	0.865888945325087	2.74623247975
LCC1084_0	0.991378414195756	67	3.02503142069868	0.923514662372763	4.222234887849999
LCC1074_52	0.981963414809799	179	3.71387784967433	0.955157172646369	4.76751221515
LCC1132_0	0.995695545107776	47	2.2113785208912	0.795778279492936	3.92697286775
LCC1156_0	0.995063178386576	85	2.21776054366067	0.755772812410659	3.5872099415500003
LCC1064_12	0.994720117894516	61	2.44164025809033	0.856242133548638	3.4901657866500004
LCC1046_12	0.997280255377827	29	1.74185761838184	0.67403719998306	2.85221977545
LCC1060_0	0.997780091343044	38	1.58399208673938	0.681084204398931	2.50621887525
LCC1103_52	0.993787801529911	85	2.48670317828592	0.840217279207307	3.4800089193499995
LCC1005_12	0.993094566301109	52	2.81342780344583	0.924083780341831	3.88658451285
LCC1090_0	0.994980238698107	66	2.42660655549662	0.840069160971674	3.75122171725
LCC1103_0	0.995770568964812	53	2.29100446483679	0.838407849982182	3.32765034885
LCC1119_0	0.993494545482006	57	2.75563869105852	0.917752068451016	4.23795673685
LCC2029_52	0.991377301263037	88	2.98489811035052	0.91412502896696	3.35778418105
LCC2040_0	0.991846411717324	60	2.98409688494724	0.931142322167152	3.731977578650001
LCC1090_12	0.988001628571428	124	3.27736222306877	0.92839822123096	4.2768475097500005
LCC1136_52	0.985353938763749	165	3.41307201604881	0.926072171271769	4.42278218535
LCC1007_52	0.974954450125608	273	3.87640659125599	0.95285117629934	2.6661925223500003
LCC1092_52	0.992545200021574	168	2.74090179673582	0.88855773262371	3.3706952663500003
LCC2006_52	0.99470489528957	103	2.03876524614339	0.724123062552434	2.96830651015
LCC1051_52	0.992076438825359	103	2.79209025658707	0.87317728166475	3.85824667445
LCC1096_12	0.994962431542575	39	2.49385359193428	0.880909247039281	2.60417021905
LCC2035_0	0.996186749706186	25	2.21850265017204	0.847652254046068	2.81761602825
LCC1009_52	0.989761106170644	92	3.17054310076535	0.929332859379027	5.47434451575
LCC1147_0	0.993399580751983	67	2.68257594648827	0.87285974305992	4.51793650905
LCC1011_0	0.989398450854935	95	3.22317656522014	0.93505381912578	4.575378606649999
LCC1030_0	0.992814277103648	68	2.79380770323882	0.889777218439252	3.67632771585
LCC1127_52	0.993508461097216	121	2.24092571616448	0.699679368474418	3.50933197925
LCC1109_0	0.998469583219782	23	1.12555004943223	0.457582894564657	2.25155175275
LCC2002_52	0.990819186632367	116	3.09151406537478	0.935443800039051	2.8431328835500005
LCC2033_52	0.996185670495566	62	1.95351890788671	0.686281301863793	3.0206886607500003
LCC1110_12	0.996607189346323	59	2.00902268430664	0.77695429120293	2.10448647895
LCC1121_0	0.996906332410856	38	1.88159567079766	0.734644108453871	3.4681900809500004
LCC1110_52	0.980892588996571	161	3.77021201776547	0.959954920431338	4.973409310749999
LCC1148_12	0.995434918587976	73	2.29186611279677	0.8146535603514	2.73376998425
LCC1103_12	0.995529629674573	59	2.24796972680503	0.78919869996438	3.85283472695
LCC1147_52	0.993079702567375	79	2.72384173541473	0.874858398179832	4.48102745905
LCC1015_0	0.996619403040762	45	2.07635304968027	0.812390167700458	2.17809087795
LCC1138_12	0.986188531827921	183	3.06938900729471	0.861332060998799	4.46882621795
LCC2027_52	0.989885659238832	97	3.19806951067807	0.93872559467666	4.16007439475
LCC1142_52	0.986530090393927	134	3.32476808162631	0.914633167481756	4.11753475555
LCC1063_12	0.990172191485694	79	2.96190517277495	0.871571106497543	5.01374644435
LCC1086_12	0.997535423107367	39	1.71664799474953	0.712657309345348	2.5584279274500004
LCC1077_12	0.993707643288256	60	2.73277156128474	0.912857649243364	4.05486936575
LCC2044_52	0.988349586127345	123	3.26681294068713	0.931431942535977	4.347313584250001
LCC1104_12	0.993737101398491	98	2.57240053884038	0.840924289778474	4.67607804415
LCC1071_0	0.994593894208494	62	2.48473763562593	0.85312474085348	3.45770231505
LCC1045_12	0.994994442364869	73	2.45805741738713	0.86596120720003	2.71626769555
LCC1063_52	0.991067236558462	124	2.73763565080271	0.847660850259262	4.15296283015
LCC1021_0	0.994941662179643	43	2.50497621263965	0.883141974320158	3.3009283227500004
LCC1002_12	0.994869180210078	59	2.4426521275772	0.839510850119086	3.07991703315
LCC1091_52	0.987496385420247	177	2.92623750747702	0.821024535548805	3.81192436525
LCC1081_0	0.992831101158608	62	2.84025913201664	0.911209409917648	2.9195659481500007
LCC1075_12	0.982382506901212	112	3.7506827072525	0.965113223790511	6.37065378035
LCC1089_52	0.995111081434593	82	2.14396665844966	0.715838296240133	2.10843791105
LCC1100_12	0.998590229147495	24	1.03225086545863	0.413915843619965	2.43014794405
LCC1105_52	0.994535909150931	67	2.56184860228834	0.879062550514041	3.44622239205
