subjectID	Household_heads_income	Family_expenditure_food_clothes_utilities	Mothers_income
LCC1001	C	F	A
LCC1002	C	C	A
LCC1003	C	R	A
LCC1004	B	E	A
LCC1005	B	B	A
LCC1006	C	C	A
LCC1007	B	E	B
LCC1008	D	G	A
LCC1009	D	G	A
LCC1010	C	E	B
LCC1011	D	G	A
LCC1012	D	I	A
LCC1013	C	G	A
LCC1014	C	F	A
LCC1015	C	H	A
LCC1016	C	C	B
LCC1017	D	G	A
LCC1018	B	H	B
LCC1019	B	B	A
LCC1020	C	E	A
LCC1021	C	E	A
LCC1022	A	C	A
LCC1023	C	E	A
LCC1024	C	F	A
LCC1025	C	E	A
LCC1026	C	F	B
LCC1027	C	G	A
LCC1028	D	G	A
LCC1029	C	G	A
LCC1030	D	F	A
LCC1031	B	C	B
LCC1032	C	D	B
LCC1033	C	D	A
LCC1034	B	J	A
LCC1035	C	F	A
LCC1036	A	I	A
LCC1037	C	E	A
LCC1038	B	G	B
LCC1039	B	E	B
LCC1040	C	C	B
LCC1041	C	H	B
LCC1042	C	D	A
LCC1043	C	D	A
LCC1044	C	I	B
LCC1045	E	O	B
LCC1046	F	I	A
LCC1047	B	I	A
LCC1048	C	L	A
LCC1049	C	I	A
LCC1050	C	D	A
LCC1051	D	H	A
LCC1052	E	R	A
LCC1053	B	G	A
LCC1054	C	C	A
LCC1055	E	J	A
LCC1056	C	C	A
LCC1057	C	H	A
LCC1058	C	C	B
LCC1059	D	H	A
LCC1060	C	I	A
LCC1061	C	B	A
LCC1062	C	C	A
LCC1063	B	F	A
LCC1064	D	F	A
LCC1065	C	D	B
LCC1066	C	E	B
LCC1067	C	F	B
LCC1068	C	D	A
LCC1069	B	E	A
LCC1070	C	D	A
LCC1071	C	E	A
LCC1072	C	D	A
LCC1073	B	A	B
LCC1074	D	B	A
LCC1075	D	F	B
LCC1076	C	G	A
LCC1077	C	F	A
LCC1078	E	E	A
LCC1079	C	A	A
LCC1080	C	L	A
LCC1081	B	C	A
LCC1082	C	H	B
LCC1083	B	D	A
LCC1084	C	I	A
LCC1085	F	C	A
LCC1086	B	E	B
LCC1087	B	H	B
LCC1088	B	E	B
LCC1089	C	G	A
LCC1090	E	H	A
LCC1091	I	O	A
LCC1092	B	D	B
LCC1093	B	G	A
LCC1094	E	F	A
LCC1095	C	F	A
LCC1096	F	G	A
LCC1097	G	L	A
LCC1098	C	D	A
LCC1099	C	F	A
LCC1100	A	E	B
LCC1101	C	G	B
LCC1102	C	C	B
LCC1103	C	F	B
LCC1104	B	I	B
LCC1105	B	D	B
LCC1106	C	D	A
LCC1107	D	G	B
LCC1108	C	G	A
LCC1109	C	E	A
LCC1110	C	F	A
LCC1111	A	D	B
LCC1112	C	F	A
LCC1113	B	G	B
LCC1114	B	D	A
LCC1115	E	D	A
LCC1116	C	E	A
LCC1117	C	C	A
LCC1118	C	I	A
LCC1119	B	J	A
LCC1120	C	F	A
LCC1121	B	C	B
LCC1122	C	F	A
LCC1123	D	G	A
LCC1124	B	C	A
LCC1125	C	G	A
LCC1126	B	D	A
LCC1127	C	D	A
LCC1128	C	D	A
LCC1129	C	J	A
LCC1130	D	E	A
LCC1131	C	D	A
LCC1132	B	K	A
LCC1133	B	I	A
LCC1134	C	E	A
LCC1135	D	C	A
LCC1136	A	B	A
LCC1137	C	E	A
LCC1138	C	D	A
LCC1139	B	C	B
LCC1140	B	E	A
LCC1141	D	C	A
LCC1142	C	D	A
LCC1143	C	C	A
LCC1144	A	C	B
LCC1145	D	E	A
LCC1146	C	C	A
LCC1147	D	C	A
LCC1148	D	D	A
LCC1149	C	H	B
LCC1150	A	E	B
LCC1151	B	C	B
