subjectID	Household_heads_income	Mothers_income	Total_monthly_income	Family_expenditure_food_clothes_utilities	Monthly_total_expenditure
LCC1001	15000	0	15000	10000	10500
LCC1002	15000	0	15000	5000	11500
LCC1003	15000	0	65000	30000	40000
LCC1004	10000	0	14000	8000	13500
LCC1005	7000	0	7000	4000	5000
LCC1006	15000	0	15000	6000	11800
LCC1007	9000	3000	12000	8000	10500
LCC1008	21000	0	21000	12000	17300
LCC1009	20000	0	20000	12000	18000
LCC1010	15000	2000	17000	9000	13500
LCC1011	21000	0	28000	12000	16000
LCC1012	21000	0	21000	15000	19400
LCC1013	12000	0	20000	12000	16000
LCC1014	12000	0	22000	11000	21000
LCC1015	13000	0	24000	13000	23500
LCC1016	15000	1400	16400	6000	9500
LCC1017	18000	0	18000	12000	18500
LCC1018	8000	8000	26000	13000	22500
LCC1019	10000	0	10000	4000	8500
LCC1020	15000	0	15000	8000	13000
LCC1021	15000	0	15000	9000	12200
LCC1022	2000	0	8000	5000	7500
LCC1023	15000	0	18000	8500	9500
LCC1024	15000	0	15000	10000	15500
LCC1025	12000	0	12000	9000	12000
LCC1026	12000	6000	18000	10000	17500
LCC1027	15000	0	15000	12000	13000
LCC1028	21000	0	21000	12000	15500
LCC1029	15000	0	15000	12000	14000
LCC1030	21000	0	21000	10000	14500
LCC1031	10000	2000	12000	6000	12000
LCC1032	12000	4000	16000	7000	12500
LCC1033	15000	0	15000	7000	12500
LCC1034	9000	0	22000	17000	19000
LCC1035	15000	0	15000	10000	14500
LCC1036	4000	0	19000	15000	16000
LCC1037	15000	0	15000	8000	14000
LCC1038	11000	9000	35000	12000	34000
LCC1039	11500	2500	14000	8500	13500
LCC1040	12000	6000	18000	5000	11000
LCC1041	12000	8000	20000	13000	18500
LCC1042	14000	0	14000	7000	11000
LCC1043	15000	0	15000	7000	11500
LCC1044	15000	8000	23000	15000	19500
LCC1045	25000	6000	41000	25000	29000
LCC1046	30000	0	30000	15000	23000
LCC1047	10000	0	23000	15000	17000
LCC1048	12000	0	28000	20000	23000
