subjectID	Fathers_Educational_attainment	Years_of_fathers_education	Mothers_Educational_attainment	Years_of_mothers_education	Fathers_occupation	Mothers_occupation	Other_fathers_occupation	Family_owns_the_home_they_live_in
LCC1001	8	8	9	9	Rickshaw /Push cart puller/van	Housewife		Yes
LCC1002	9	9	6	6	Garments worker	Housewife		No
LCC1003	11	12	7	7	Student	Housewife		Yes
LCC1004	8	8	4	4	Private Service / NGO Service	Housewife		No
LCC1005	0	0	7	7	Home skill worker (Shari made, Embroidery, Karchupi etc.)	Housewife		Yes
LCC1006	5	5	8	8	Skilled labourer (Radio, TV, Fan, Plumber, Mason, Painter, Electrician/Lineman, Gas, Phone, WASA, Industry worker etc.)	Housewife		No
LCC1007	7	7	10	10	Private Service / NGO Service	Teacher (School, College, University)		Yes
LCC1008	0	0	1	1	Daily labourer (unskilled labourer)	Housewife		No
LCC1009	8	8	2	2	Daily labourer (unskilled labourer)	Housewife		No
LCC1010	4	4	6	6	Daily labourer (unskilled labourer)	Home skill worker (Shari made, Embroidery, Karchupi etc.)		No
LCC1011	2	2	8	8	Rickshaw /Push cart puller/van	Housewife		No
LCC1012	7	7	3	3	Rickshaw /Push cart puller/van	Housewife		No
LCC1013	5	5	5	5	Home skill worker (Shari made, Embroidery, Karchupi etc.)	Housewife		Yes
LCC1014	0	0	8	8	Skilled labourer (Radio, TV, Fan, Plumber, Mason, Painter, Electrician/Lineman, Gas, Phone, WASA, Industry worker etc.)	Housewife		No
LCC1015	5	5	6	6	Garments worker	Housewife		No
LCC1016	0	0	6	6	Rickshaw /Push cart puller/van	Servant		No
LCC1017	1	1	1	1	Daily labourer (unskilled labourer)	Housewife		No
LCC1018	6	6	4	4	Garments worker	Garments worker		No
LCC1019	4	4	9	9	Housewife	Housewife		No
LCC1020	5	5	6	6	Daily labourer (unskilled labourer)	Housewife		No
LCC1021	3	3	0	0	Rickshaw /Push cart puller/van	Housewife		No
LCC1022	0	0	0	0	Daily labourer (unskilled labourer)	Housewife		No
LCC1023	10	10	10	10	Small Businessman (Up to 10,000 Tk./ Month)	Housewife		Yes
LCC1024	5	5	9	9	Medium Businessman (10,001 – 30,000 Tk./ Month)	Housewife		No
LCC1025	3	3	5	5	Rickshaw /Push cart puller/van	Servant		No
LCC1026	3	3	1	1	Private Service / NGO Service	Servant		No
LCC1027	9	9	8	8	Private Service / NGO Service	Housewife		Yes
LCC1028	5	5	8	8	Medium Businessman (10,001 – 30,000 Tk./ Month)	Housewife		No
LCC1029	11	12	8	8	Small Businessman (Up to 10,000 Tk./ Month)	Housewife		Yes
LCC1030	4	4	9	9	Private Service / NGO Service	Housewife		No
