sampleID	Temporal_Gyrus_(mid)_Left_Supramarginal_Gyrus_left	Frontal_Gyrus_(mid)_Left_Supramarginal_Gyrus_left	Superior_Frontal_Gyrus_(ventral)_Supramarginal_Gyrus_left	Frontal_Gyrus_(mid)_right_Supramarginal_Gyrus_left	Temporal_Gyrus_(mid)_right_Supramarginal_Gyrus_left	Supramarginal_Gyrus_right_Supramarginal_Gyrus_left	Frontal_Gyrus_(mid)_Left_Temporal_Gyrus_(mid)_left	Superior_Frontal_Gyrus_(ventral)_Temporal_Gyrus_(mid)_left	Frontal_Gyrus_(mid)_right_Temporal_Gyrus_(mid)_left	Temporal_Gyrus_(mid)_right_Temporal_Gyrus_(mid)_left	Supramarginal_Gyrus_right_Temporal_Gyrus_(mid)_left	Superior_Frontal_Gyrus_(ventral)_Frontal_Gyrus_(mid)_left	Frontal_Gyrus_(mid)_right_Frontal_Gyrus_(mid)_left	Temporal_Gyrus_(mid)_right_Frontal_Gyrus_(mid)_left	Supramarginal_Gyrus_right_Frontal_Gyrus_(mid)_left	Frontal_Gyrus_(mid)_right_Superior_Frontal_Gyrus_(ventral)	Supramarginal_Gyrus_right_Superior_Frontal_Gyrus_(ventral)	Temporal_Gyrus_(mid)_right_Superior_Frontal_Gyrus_(ventral)	Temporal_Gyrus_(mid)_right_Frontal_Gyrus_(mid)_right	Supramarginal_Gyrus_right_Frontal_Gyrus_(mid)_right	Supramarginal_Gyrus_right_Temporal_Gyrus_(mid)_right
LCC1001_52	0.933611846	0.384924659	-0.048853727	0.347535477	0.569471814	0.901019841	0.464544618	0.184049298	0.341903883	0.417662017	0.766697665	0.633124688	0.739820622	0.74444076	0.654384711	0.527794592	0.121791063	0.210575682	1.156463806	0.480286844	0.664254506
LCC1002_52	0.366556009	0.386111204	-0.074777711	-0.267195726	0.03198538	0.152911933	0.537745482	-0.032397324	-0.21841146	-0.117657573	0.226239987	0.373737974	0.123997351	0.342385191	0.534744962	0.683654913	-0.070173943	0.386205507	0.865885412	-0.002218917	0.299983602
LCC1003_52	0.480150082	0.535852603	0.602927501	-0.039041849	0.525200109	0.563394533	0.609245243	0.457162394	0.342324415	0.858415151	0.397156398	0.592709373	0.185523993	0.602470279	0.328843726	-0.153231195	0.131725167	0.416321225	0.248676976	0.637364055	0.457840111
LCC1004_52	0.390316907	0.129968298	-0.07752202	0.054057944	-0.115773113	0.681271742	0.631175024	0.271467016	0.373293621	0.045007568	0.39133465	0.883265792	0.844072809	0.129498039	0.255808595	0.677244703	0.158605487	0.022209168	0.44450858	0.339514248	0.172444363
LCC1005_52	0.951863233	0.637298916	0.167241973	0.470254032	0.570186701	1.08378293	0.742286048	0.333717703	0.750711258	0.875888563	0.948576947	0.453964274	1.046262264	0.892658276	0.491581946	0.534476088	0.298832755	0.882556324	1.238181394	0.480238249	0.744424786
LCC1006_52	0.54660529	0.224073322	-0.379469028	0.303201861	0.283970784	0.776515622	0.538931011	0.112212975	0.276261665	0.692629019	0.578292996	0.811418763	0.187985677	0.381032538	0.253599963	-0.013082982	-0.129595139	0.220809278	0.641584605	0.611117412	0.757726303
LCC1007_0	0.658240247	0.509386626	-0.243246295	0.682586625	0.539975991	0.651277483	0.884617076	-0.337807011	0.429783472	0.780737178	0.96585402	0.09498527	0.539397861	0.801407311	0.589637748	-0.441707355	-0.124505619	-0.446079094	0.804646753	0.223642292	0.552737707
LCC1007_52	0.863997679	0.489321561	0.66614309	0.608980382	0.599056397	0.764292794	0.550367992	0.732617274	0.520337414	0.776445146	0.983998661	0.710766041	0.74109434	0.752526513	0.420678773	1.063579258	0.439473582	0.795635112	1.138301589	0.307663297	0.571160349
LCC1008_0	0.68997052	0.567812225	0.037217	0.324955118	0.626240289	0.139323167	0.448714318	0.059984347	0.400782696	0.566512919	0.307819879	0.319353431	0.143451259	0.407759697	0.141664179	0.264200829	0.029678794	0.341314336	0.785745602	-0.073991058	0.084279992
LCC1008_52	0.124780034	0.208746516	0.052760472	0.038168646	0.197656064	0.386157166	0.367749155	0.102614618	0.201617233	0.731617479	0.298409088	0.57091519	0.726137138	0.284967514	0.814237321	0.266867934	0.291118089	0.157242508	0.433661219	0.491147078	0.291201028
LCC1009_52	0.593296203	0.459421333	0.028310629	0.322741342	0.792369158	0.480375497	1.018233528	0.391189843	0.368014686	0.689664106	0.998784574	0.442829461	0.414701987	0.517934533	0.939180907	0.146913025	0.298966671	0.216231915	0.846457141	0.648187705	0.779487394
LCC1010_52	0.575234216	0.459909017	0.303746571	0.639201982	0.562289199	0.610649246	0.723167437	0.534723981	0.744584256	0.613208945	0.464632495	0.707677638	1.062971807	0.517252581	0.353858347	0.543609812	0.252566958	0.140067049	0.683869008	0.507321636	0.696199253
LCC1012_52	0.678645654	0.350088258	-0.111025199	0.327495774	0.429450819	0.585306698	0.193912626	-0.166471905	0.458322251	0.752738021	0.838947948	0.231017285	0.276873988	0.197294263	0.181636792	0.306821077	-0.229327148	-0.025726823	0.701407144	0.408667763	0.717080883
LCC1014_0	0.658953385	0.353128542	0.14508974	0.525854094	0.21402744	-0.044027604	0.070432967	0.179371274	0.650566334	0.414958047	0.049721423	0.465025255	0.165714969	0.487374151	0.328409931	0.292726939	0.086763245	0.54737019	0.341616056	0.114777781	0.377994899
LCC1014_52	0.495452907	0.075215186	-0.000126991	0.55642073	0.29968897	1.132712827	0.390970977	0.948295727	0.679864565	1.160112132	0.318224267	0.567359899	0.454414732	0.424559565	0.145153025	0.520850419	-0.050881385	0.845631087	0.870169456	0.672703266	0.261002262
LCC1015_52	0.635402919	0.33951055	0.299470117	0.010999549	0.405871029	0.047695367	0.859324754	0.737662719	0.321160762	0.708468945	0.099418196	1.154981971	0.572632992	0.956084935	0.121077801	0.229176087	-0.191495823	0.687588172	0.440270847	0.578794195	0.227457375
LCC1016_0	0.483637335	0.229161073	-0.079180811	0.19696139	0.099836427	0.192557333	-0.025529359	0.114569111	0.335104908	0.455340685	0.209599189	0.368658687	0.236888505	0.223975819	0.326777209	0.482767959	0.283779446	0.583093126	0.616249213	0.620230703	0.948109616
LCC1016_52	0.677102153	0.245622026	0.293216435	0.37200866	0.43173677	0.471797675	-0.061710004	0.183926263	0.333269766	0.588915807	0.124392312	-0.039710027	-0.037995546	-0.092348185	0.322367495	0.19321399	-0.082243325	0.121131588	0.999136241	0.729061282	0.557576618
LCC1017_52	0.904937672	0.441684326	0.241007616	0.317683016	0.554509673	0.819831454	0.545334849	0.305945285	0.431542	0.804695656	0.925792031	0.905696735	0.445717457	0.170820648	0.211097613	0.268794022	0.08800314	-0.020344132	0.710599961	0.389830248	0.850711036
