subjectID	Principal_type_of_flooring	Principal_wall_material	Principal_roofing_material	Cooking_gas	Telephone_mobile	Almeria	Tabletop	Chair	Bench	Watch_or_clock	Cot_or_bed	Working_Radio	Working_TV	Bicycle	Motorcycle	Sewing_machine	Members_in_household	Number_of_years_lived_in_current_household	Number_of_rooms_in_current_household	Number_of_people_usually_sleeping_in_household	Maid_working_in_household	Household_food_availability
LCC1001	Cement/Concrete	Tin wall	Tin roof	Yes	Yes	No	No	No	No	Yes	Yes	No	Yes	No	No	No	4	0	1	4	No	Surplus
LCC1002	Ceramic Tiles	Bricks, cement blocks, concrete Walls	Tin roof	Yes	Yes	No	No	Yes	No	No	Yes	No	Yes	No	No	Yes	3	4	1	3	No	Sometimes deficit
LCC1003	Cement/Concrete	Bricks, cement blocks, concrete Walls	Finished roof (concrete)	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	No	Yes	No	No	No	7	3	4	7	No	Surplus
LCC1004	Cement/Concrete	Bricks, cement blocks, concrete Walls	Finished roof (concrete)	Yes	Yes	No	No	Yes	No	Yes	Yes	No	Yes	No	No	No	5	3	1	5	No	Sometimes deficit
LCC1005	Cement/Concrete	Bricks, cement blocks, concrete Walls	Tin roof	No	Yes	No	No	No	No	Yes	Yes	No	No	No	No	No	4	5	1	4	No	Neither deficit nor surplus
LCC1006	Cement/Concrete	Bricks, cement blocks, concrete Walls	Finished roof (concrete)	Yes	Yes	No	No	No	No	Yes	Yes	No	No	No	No	No	3	0	1	3	No	Surplus
LCC1007	Cement/Concrete	Bricks, cement blocks, concrete Walls	Tin roof	No	Yes	Yes	No	No	No	Yes	Yes	No	Yes	No	No	No	6	17	1	6	No	Surplus
LCC1008	Cement/Concrete	Bricks, cement blocks, concrete Walls	Finished roof (concrete)	Yes	Yes	No	No	No	No	Yes	Yes	No	No	No	No	No	4	0	1	4	No	Sometimes deficit
LCC1009	Cement/Concrete	Bricks, cement blocks, concrete Walls	Finished roof (concrete)	Yes	Yes	No	No	Yes	No	Yes	Yes	No	Yes	No	No	No	5	0	1	5	No	Surplus
LCC1010	Cement/Concrete	Bricks, cement blocks, concrete Walls	Finished roof (concrete)	Yes	Yes	Yes	No	No	No	Yes	Yes	No	No	No	No	No	3	0	1	3	No	Sometimes deficit
LCC1011	Cement/Concrete	Bricks, cement blocks, concrete Walls	Finished roof (concrete)	Yes	Yes	No	No	Yes	No	No	Yes	Yes	No	No	No	No	5	1	1	5	No	Sometimes deficit
LCC1012	Cement/Concrete	Bricks, cement blocks, concrete Walls	Finished roof (concrete)	Yes	Yes	No	No	No	No	No	Yes	No	No	No	No	No	3	0	1	3	No	Sometimes deficit
LCC1013	Cement/Concrete	Bricks, cement blocks, concrete Walls	Tin roof	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	No	Yes	Yes	No	Yes	7	4	3	7	No	Surplus
LCC1014	Cement/Concrete	Bricks, cement blocks, concrete Walls	Finished roof (concrete)	Yes	Yes	No	No	No	No	No	Yes	No	Yes	No	No	No	5	20	2	5	No	Surplus
LCC1015	Cement/Concrete	Bricks, cement blocks, concrete Walls	Finished roof (concrete)	Yes	Yes	No	No	Yes	No	No	Yes	No	Yes	No	No	No	7	0	2	7	No	Surplus
LCC1016	Cement/Concrete	Tin wall	Tin roof	Yes	Yes	No	No	No	No	No	Yes	No	No	No	No	No	3	1	1	3	No	Surplus
LCC1017	Cement/Concrete	Bricks, cement blocks, concrete Walls	Tin roof	Yes	Yes	No	No	Yes	No	Yes	Yes	No	Yes	Yes	No	No	5	17	2	5	No	Sometimes deficit
LCC1018	Cement/Concrete	Bricks, cement blocks, concrete Walls	Finished roof (concrete)	Yes	Yes	No	No	Yes	No	No	Yes	No	Yes	No	No	No	7	1	2	7	No	Sometimes deficit
LCC1019	Cement/Concrete	Bricks, cement blocks, concrete Walls	Tin roof	Yes	Yes	No	No	No	No	Yes	Yes	No	Yes	No	No	No	4	0	1	4	No	Sometimes deficit
LCC1020	Cement/Concrete	Bricks, cement blocks, concrete Walls	Tin roof	Yes	Yes	No	No	No	No	Yes	Yes	No	No	No	No	No	4	2	1	4	No	Surplus
LCC1021	Cement/Concrete	Tin wall	Tin roof	No	Yes	No	No	No	No	No	Yes	No	No	No	No	No	4	5	1	4	No	Sometimes deficit
LCC1022	Cement/Concrete	Bricks, cement blocks, concrete Walls	Tin roof	No	Yes	No	No	No	No	No	Yes	No	No	No	No	No	6	5	1	6	No	Surplus
LCC1023	Cement/Concrete	Bricks, cement blocks, concrete Walls	Tin roof	Yes	Yes	No	Yes	Yes	No	No	Yes	No	No	No	No	No	3	4	1	3	No	Sometimes deficit
LCC1024	Cement/Concrete	Bricks, cement blocks, concrete Walls	Finished roof (concrete)	Yes	Yes	No	No	No	No	No	Yes	No	Yes	No	No	No	3	2	1	3	No	Surplus
LCC1025	Cement/Concrete	Bricks, cement blocks, concrete Walls	Tin roof	Yes	Yes	No	No	No	No	No	Yes	No	No	No	No	No	3	1	1	3	No	Surplus
LCC1026	Cement/Concrete	Tin wall	Tin roof	Yes	Yes	No	No	No	No	No	Yes	No	No	No	No	No	6	5	1	6	No	Surplus
LCC1027	Cement/Concrete	Tin wall	Tin roof	No	Yes	Yes	No	Yes	No	No	Yes	No	Yes	No	No	Yes	4	18	2	4	No	Deficit in whole year
LCC1028	Cement/Concrete	Bricks, cement blocks, concrete Walls	Tin roof	Yes	Yes	No	Yes	No	No	No	Yes	No	No	No	No	No	3	1	1	3	No	Surplus
LCC1029	Cement/Concrete	Tin wall	Tin roof	No	Yes	Yes	No	Yes	No	No	Yes	No	No	No	No	No	5	9	3	5	No	Surplus
LCC1030	Cement/Concrete	Bricks, cement blocks, concrete Walls	Finished roof (concrete)	Yes	Yes	No	No	Yes	No	Yes	Yes	No	Yes	No	No	No	4	19	1	4	No	Sometimes deficit
LCC1031	Cement/Concrete	Bricks, cement blocks, concrete Walls	Finished roof (concrete)	Yes	Yes	Yes	No	No	No	No	Yes	No	Yes	No	No	No	6	4	2	6	No	Sometimes deficit
LCC1032	Cement/Concrete	Bricks, cement blocks, concrete Walls	Finished roof (concrete)	Yes	Yes	No	Yes	Yes	No	No	Yes	No	Yes	No	No	No	4	3	1	4	No	Surplus
LCC1033	Cement/Concrete	Tin wall	Tin roof	Yes	Yes	No	No	Yes	No	No	Yes	Yes	Yes	No	No	No	4	5	1	4	No	Surplus
LCC1034	Cement/Concrete	Bricks, cement blocks, concrete Walls	Tin roof	Yes	Yes	No	Yes	Yes	No	No	Yes	No	Yes	No	No	No	6	5	2	6	No	Sometimes deficit
LCC1035	Cement/Concrete	Bricks, cement blocks, concrete Walls	Finished roof (concrete)	No	Yes	Yes	Yes	No	No	No	Yes	No	Yes	No	No	No	4	20	1	4	No	Sometimes deficit
LCC1036	Cement/Concrete	Bricks, cement blocks, concrete Walls	Finished roof (concrete)	Yes	Yes	No	Yes	Yes	No	No	Yes	No	Yes	No	No	No	5	20	2	5	No	Surplus
LCC1037	Cement/Concrete	Tin wall	Finished roof (concrete)	Yes	Yes	No	No	No	No	No	Yes	No	Yes	No	No	No	3	10	1	3	No	Sometimes deficit
LCC1038	Cement/Concrete	Bricks, cement blocks, concrete Walls	Finished roof (concrete)	Yes	Yes	No	No	No	No	Yes	Yes	No	Yes	No	No	Yes	14	4	5	14	No	Sometimes deficit
LCC1039	Cement/Concrete	Bricks, cement blocks, concrete Walls	Tin roof	Yes	Yes	No	No	No	No	No	Yes	No	No	Yes	No	Yes	5	4	1	5	No	Surplus
