sampleID	Occurence_Microstates_A	Occurence_Microstates_B	Occurence_Microstates_C	Occurence_Microstates_D	Occurence_Microstates_E	Occurence_Microstates_F	Occurence_Microstates_G	Duration_Microstates_A	Duration_Microstates_B	Duration_Microstates_C	Duration_Microstates_D	Duration_Microstates_E	Duration_Microstates_F	Duration_Microstates_G
LCC1001_52	2.22972973	2.324324324	2.324324324	1.216216216	2.040540541	1.540540541	1.540540541	76.67878788	79.27906977	82.8372093	69.33333333	72.05298013	67.22807018	76.14035088
LCC1002_0	1.81884058	1.956521739	2.101449275	1.304347826	2.036231884	1.833333333	1.0	84.41434263	86.05925926	88.22068966	80.35555556	82.91814947	83.11462451	66.66666667
LCC1002_52	1.901785714	2.008928571	2.241071429	1.473214286	2.223214286	2.053571429	1.464285714	72.05633803	78.13333333	74.7250996	74.35151515	73.4939759	74.48695652	76.92682927
LCC1003_0	2.203947368	1.717105263	2.493421053	1.907894737	1.677631579	1.552631579	1.348684211	80.0358209	72.7816092	90.79683377	76.64827586	75.04313725	70.77966102	66.88780488
LCC1003_52	2.274193548	2.048387097	2.048387097	1.306451613	2.225806452	2.129032258	1.693548387	75.46099291	81.22834646	66.86614173	71.35802469	73.73913043	71.84848485	67.73333333
LCC1004_52	1.433823529	2.580882353	2.419117647	1.772058824	1.654411765	2.301470588	1.426470588	68.12307692	80.38746439	74.43161094	76.68049793	68.03555556	74.04472843	67.25773196
LCC1006_52	2.582089552	2.164179104	2.380597015	1.231343284	2.059701493	1.820895522	1.604477612	73.6416185	71.54482759	73.64263323	67.44242424	73.13043478	73.91803279	69.45116279
LCC1007_0	2.039215686	1.803921569	2.068627451	1.882352941	2.058823529	1.588235294	1.558823529	74.55769231	79.17391304	82.3507109	81.0	78.57142857	68.14814815	72.05031447
LCC1008_0	1.784090909	1.761363636	2.784090909	1.340909091	2.181818182	2.090909091	1.193181818	76.86624204	75.12258065	89.12653061	65.42372881	78.60416667	72.45652174	60.07619048
LCC1008_52	2.25	2.057692308	2.173076923	1.182692308	2.384615385	2.596153846	1.451923077	71.14529915	70.03738318	68.69026549	57.26829268	78.4516129	74.54814815	67.62913907
LCC1009_52	2.105633803	2.457746479	2.253521127	1.274647887	1.978873239	1.802816901	1.542253521	77.9264214	78.13180516	77.4625	68.97237569	73.4519573	72.90625	67.83561644
LCC1010_0	1.975	1.45	2.4	1.825	1.65	1.55	1.65	79.03797468	74.62068966	87.95833333	85.5890411	75.87878788	83.61290323	68.84848485
LCC1010_52	2.4	2.207142857	2.385714286	1.535714286	1.65	1.678571429	1.485714286	76.78571429	75.45631068	83.47305389	70.73488372	71.58441558	69.97446809	71.23076923
