sampleID	Occipital_Delta	Temporal_Delta	Frontal_Delta_	Parietal_Delta_	Frontal_Low_Alpha	Frontal_High_Alpha	Frontal_Theta	Frontal_Beta	Parietal_Theta	Parietal_Low_Alpha	Parietal_High_Alpha	Parietal_Beta	Temporal_Theta	Temporal_Low_Alpha	Temporal_High_Alpha	Temporal_Beta	Occipital_Theta	Occipital_Low_Alpha	Occipital_High_Alpha	Occipital_Beta	All_Chans_Beta	Frontal_Central_Low_Gamma	All_Chans_Delta	All_Chans_High_Alpha	All_Chans_High_Gamma	All_Chans_Low_Alpha	All_Chans_Low_Gamma	All_Chans_Theta	Frontal_Central_Beta	Frontal_Central_Delta	Frontal_Central_High_Alpha	Frontal_Central_High_Gamma	Frontal_Central_Low_Alpha	Occipital_High_Gamma	Frontal_Central_Theta	Frontal_High_Gamma	Frontal_Low_Gamma	Left_Lat_Frontal_Beta	Left_Lat_Frontal_Delta	Left_Lat_Frontal_High_Alpha	Left_Lat_Frontal_High_Gamma	Left_Lat_Frontal_Low_Alpha	Left_Lat_Frontal_Low_Gamma	Left_Lat_Frontal_Theta	Left_Parietal_Beta	Left_Parietal_Delta	Left_Parietal_High_Alpha	Left_Parietal_High_Gamma	Left_Parietal_Low_Alpha	Left_Parietal_Low_Gamma	Left_Parietal_Theta	Left_Temporal_Beta	Left_Temporal_Delta	Left_Temporal_High_Alpha	Right_Parietal_High_Gamma	Right_Parietal_Low_Alpha	Right_Parietal_Low_Gamma	Right_Parietal_Theta	Right_Temporal_Beta	Right_Temporal_Delta	Right_Temporal_High_Alpha	Right_Temporal_High_Gamma	Right_Temporal_Low_Alpha	Right_Temporal_Low_Gamma	Right_Temporal_Theta	Temporal_High_Gamma	Temporal_Low_Gamma	Occipital_Low_Gamma	Parietal_High_Gamma	Parietal_Low_Gamma	Right_Lat_Frontal_Beta	Right_Lat_Frontal_Delta	Right_Lat_Frontal_High_Alpha	Right_Lat_Frontal_High_Gamma	Right_Lat_Frontal_Low_Alpha	Right_Lat_Frontal_Low_Gamma	Right_Parietal_Beta	Right_Parietal_Delta	Right_Parietal_High_Alpha	Right_Lat_Frontal_Theta	Left_Temporal_High_Gamma	Left_Temporal_Low_Alpha	Left_Temporal_Low_Gamma	Left_Temporal_Theta
LCC1001_0	1.967257823	1.691172667	1.738534468	1.886602201	1.520970571	0.733370458	1.684613841	0.924622027	1.889312845	1.808176135	1.035458115	1.139528655	1.697319143	1.657204018	0.9231048	1.10320931	1.941926688	1.851526842	1.078851015	1.143583711	1.064408819	0.432423049	1.832537267	0.920083041	0.039019412	1.690572984	0.699021894	1.795671709	0.88127713	1.863780382	0.753582356	-0.514122127	1.564151019	0.098920729	1.776887406	0.027555318	0.633311628	0.96327539	1.66873331	0.73317266	0.132789148	1.527716319	0.71090903	1.644959708	1.128780775	1.907783031	1.015735895	-0.536284619	1.780813333	0.570308914	1.879491698	1.148402563	1.700817877	0.940530953	-0.229022118	1.833916646	0.648893675	1.898916799	1.052761055	1.681308372	0.904950084	-0.008775512	1.66859329	0.641127225	1.714239571	0.094581112	0.699819032	0.770358945	-0.356028435	0.611376345	0.925447635	1.649263133	0.712379389	0.185471134	1.465358785	0.703238835	1.150016958	1.864335167	1.054323479	1.614306717	0.178007542	1.645508003	0.751515111	1.679712664
LCC1001_52	1.958684837	1.502723054	1.760445297	1.589041397	1.42909581	0.920675659	1.396453888	1.133507198	1.317768451	1.506116008	1.002635481	1.227760355	1.284398894	1.427578795	0.988595227	1.377883707	1.479185373	1.501680103	0.985311682	1.215855308	1.321470042	0.426798848	1.689252413	0.969164426	0.837874191	1.445872448	1.05812386	1.34980014	0.940364991	1.687235097	0.921320223	-0.042942078	1.439033318	0.843988831	1.377115379	0.481606439	0.823273711	1.066594308	1.859910114	0.870872723	0.527134141	1.43929464	0.79455741	1.464218889	1.252237875	1.592581926	1.005370064	0.614910279	1.489587228	0.957183389	1.296106372	1.26851968	1.501936128	0.862460081	0.470031189	1.522038717	0.830622689	1.338401191	1.465173544	1.503508558	1.086221506	0.859796317	1.484723896	1.211220729	1.284648636	0.804804365	1.132713623	0.961860914	0.54848432	0.898497056	1.310116575	1.713603219	0.964768076	0.683175022	1.408230933	1.044069676	1.201820409	1.585471768	0.99988357	1.338305555	0.741825602	1.361758572	1.036812864	1.284149008
LCC1002_0	2.004925303	1.778923115	1.808119337	1.798721882	1.078094273	0.68427062	1.358045198	1.352377633	1.490970785	1.254885829	0.622261364	0.847971966	1.390480804	1.175711921	0.696413496	1.325105918	1.726736988	1.653948058	0.932728031	1.049039813	1.193270537	0.336786359	1.832344748	0.691024833	0.329355591	1.241072533	0.720271797	1.458829239	0.930334342	1.9065584	0.592416665	-0.229977186	1.099687775	-0.024100629	1.440389028	0.490501096	0.902295974	1.305044657	1.695839687	0.663825177	0.506815991	1.007978831	0.861342421	1.266885655	0.822365293	1.829752014	0.611419442	-0.33123263	1.268618347	0.253874083	1.518165713	0.96760445	1.781566526	0.643533788	-0.312113606	1.240704865	0.278216627	1.461958514	1.518499255	1.776263515	0.743547806	0.511934484	1.192322841	1.074051051	1.389804234	0.414046789	0.886452941	0.400618522	-0.321567917	0.266215885	1.589130008	1.796414284	0.776506321	0.738813492	1.118740306	1.161899069	0.872152525	1.765302884	0.632839203	1.34952219	0.287473675	1.158440312	0.548951589	1.391156322
LCC1002_52	2.025877082	1.673543626	1.734897782	1.738588717	1.295387277	0.909295043	1.350841508	1.412156903	1.474614978	1.60840486	1.114444485	1.071081647	1.35083874	1.545070013	1.097680467	1.419223438	1.665295607	1.954817685	1.424539703	1.323584609	1.327124758	0.489191433	1.787470832	1.099542119	0.253349153	1.568291816	0.766135587	1.446441378	1.119338292	1.700089655	0.827754476	-0.138177527	1.245466967	0.157337425	1.339992547	0.384770925	0.89748465	1.27656388	1.745196129	0.892469949	0.372733003	1.317019334	0.803519066	1.349516936	1.037711867	1.72561853	1.120270977	-0.333494907	1.632965087	0.280287935	1.496538791	1.290376972	1.682038228	1.145499103	-0.108228656	1.582372006	0.414133713	1.451525305	1.518461322	1.664879553	1.043937681	0.418627472	1.452666597	0.982925371	1.340892859	0.381483426	0.9014659	0.535594054	-0.206417083	0.352346808	1.657331825	1.757336334	0.991786672	0.622160285	1.319673609	1.153716519	1.102069345	1.751182757	1.108538762	1.362714842	0.340862899	1.62122067	0.801115983	1.360561939
LCC1003_0	2.00908826	1.697668371	1.750094683	1.696384799	1.259537408	0.681409139	1.342876286	1.23039375	1.42604322	1.443133912	0.738002951	1.063273698	1.404516351	1.429281823	0.758912808	1.332508808	1.721136096	1.776088159	1.05349061	1.190461795	1.245323921	0.32675454	1.774439593	0.763353268	0.577316355	1.4380554	0.831454057	1.436806112	0.919217977	1.847826496	0.655398572	-0.334866061	1.303983322	0.24558541	1.365420707	0.415057652	0.822451554	1.175234839	1.708553644	0.664751124	0.46881631	1.252678433	0.791865741	1.357111732	1.088811283	1.741303541	0.77011261	-0.213450204	1.478800602	0.440379709	1.470815882	1.250109611	1.759234604	0.796826864	-0.278952896	1.404273863	0.442734582	1.376118602	1.401739622	1.625909642	0.71736948	1.020942154	1.370409827	1.105236864	1.341226532	0.842206837	0.968091065	0.589376584	-0.244967784	0.441558742	1.442799465	1.673780031	0.721125977	0.643039317	1.217579594	1.065148779	1.036140102	1.64627844	0.703328356	1.303535931	0.533146688	1.481117596	0.766505463	1.459745219
LCC1003_52	1.941360275	1.72128489	1.771133158	1.817401219	1.423924899	0.81156355	1.465952972	1.110081672	1.569782998	1.674244483	1.083934493	1.151277159	1.541499987	1.707153722	1.058448111	1.351076173	1.604294614	1.609564508	1.031303372	1.207693461	1.200801689	0.263375159	1.818377156	0.982746885	0.382456992	1.597185783	0.676808423	1.542203939	0.999172865	1.800851577	0.842420878	-0.401131918	1.433938001	0.254591536	1.483063662	0.177147336	0.578381933	1.176636484	1.797916678	0.800513092	0.342002075	1.40034273	0.711178327	1.473651034	1.135521664	1.791341855	1.064025721	-0.31205344	1.712933612	0.342225329	1.598425317	1.351597529	1.76298346	1.050145968	-0.248417216	1.631768644	0.502429647	1.53911746	1.35055419	1.675153247	1.06659452	0.601581491	1.663537219	0.903712033	1.498622304	0.616330987	0.863166651	0.656295748	-0.27907081	0.429673083	1.135289772	1.708431587	0.789966402	0.282398837	1.436563135	0.642149891	1.166481024	1.84198504	1.102970479	1.439972194	0.630595971	1.746786806	0.818442513	1.580522179
LCC1004_52	1.819035865	1.383846792	1.392361363	1.432089014	1.249067478	0.945765115	1.141096624	1.042991687	1.258980065	1.418074015	1.111244745	1.105839332	1.147393298	1.328445176	1.082718557	1.393207637	1.561738031	1.737641364	1.306048595	1.388373195	1.272399561	0.238735606	1.490519412	1.079498728	0.291786133	1.394408967	0.787980595	1.246379816	0.802909281	1.410448963	0.877850486	-0.479323065	1.23965175	0.653412592	1.18079463	0.070084124	0.592897287	1.163511485	1.390757904	0.88114818	0.302648309	1.199477462	0.739766731	1.136036398	1.189316999	1.441063741	1.131157754	-0.297212865	1.428411934	0.553139912	1.277236719	1.438170984	1.416446255	1.058998698	-0.347073955	1.407484001	0.410549918	1.23992214	1.343045757	1.348600275	1.105209725	0.214927936	1.343048315	0.917610043	1.128491226	0.280685453	0.933241266	0.97717653	-0.321428237	0.487670811	1.086288625	1.375155966	1.053995722	0.074180365	1.301897759	0.655548568	1.002403926	1.422924903	1.090374637	1.102929498	0.337783303	1.313333869	0.948329377	1.165506881
LCC1005_52	1.962836607	1.736833647	1.802604245	1.729679131	1.523258125	0.881972697	1.562296151	1.271939543	1.573744224	1.67938389	0.951329112	1.183673302	1.47383928	1.551619442	0.927432325	1.451324505	1.658314967	1.60143569	0.941902445	1.243079705	1.447971038	0.645143117	1.788581205	0.947674613	0.821238936	1.588832459	1.062377306	1.55806929	1.092018368	1.816241246	0.799400255	-0.07924641	1.582867031	0.383450614	1.634311137	0.5385776	0.907754068	1.247793072	1.832469813	0.955597881	0.499792955	1.560497076	0.904308518	1.590251029	1.2543746	1.79825784	1.000779081	0.088275738	1.670661872	0.680200771	1.588523514	1.537836141	1.746124643	1.003081259	-0.122040965	1.687934184	0.538981246	1.558444214	1.343181563	1.727339533	0.835767487	0.854959051	1.493228266	0.972856977	1.443622436	0.992981075	1.110139623	0.768840121	-0.004273794	0.615305941	1.415974374	1.75535494	0.876906578	0.804419795	1.405982098	1.072599034	1.099180609	1.648202847	0.8955164	1.439179547	1.097555959	1.603082222	1.214291009	1.502089801
LCC1006_0	2.346399307	1.621764903	1.799794469	1.724309573	1.321948994	0.511861723	1.458073853	1.074015327	1.522895523	1.520930559	0.686377576	1.293573163	1.269250296	1.195169776	0.565165695	1.412340738	2.034238654	1.894471773	0.999247978	1.233749132	1.454109348	0.390178091	1.916748686	0.755058036	0.984334754	1.512604981	1.186812274	1.608032037	0.863288958	1.694480172	0.402683458	-0.014736234	1.344147278	0.48113789	1.422900019	0.505753368	0.772929166	1.206930663	1.903158585	0.567721841	0.767799354	1.281622413	1.019326244	1.480734058	1.449428813	1.748881238	0.730079683	0.75964421	1.523138441	1.149224325	1.536556493	1.590340692	1.669142146	0.658856256	0.008111016	1.518711395	0.574645978	1.508790845	1.105533803	1.568579157	0.445540238	0.348699585	1.228033526	0.744221077	1.215453967	0.799994504	1.122256784	0.729399855	0.529464933	0.950741554	1.085326357	1.775968911	0.547300194	0.445298224	1.337406182	0.687893536	1.048141687	1.698263869	0.637780679	1.468473683	1.016488437	1.159614082	1.321254814	1.317111305
LCC1006_52	1.968489786	1.695851985	1.832670349	1.780961182	1.666090457	1.221698858	1.521669779	1.388109324	1.559627921	1.86755286	1.385232998	1.293853834	1.460706085	1.796309059	1.374224304	1.443935586	1.632494024	1.889399282	1.363800639	1.303262426	1.33642471	0.457472868	1.789923959	1.297665581	0.280915875	1.768275028	0.715239324	1.515604797	1.291818915	1.987544204	1.279611198	-0.171789259	1.733908598	0.580764458	1.655119626	0.244045438	0.79608263	1.383900826	1.734641355	1.233171811	0.236781927	1.698362739	0.839145594	1.472014088	1.283836724	1.799771141	1.394374534	-0.250930699	1.920324153	0.484606623	1.604282714	1.390758361	1.710156311	1.427959414	-0.34903793	1.807470731	0.445995276	1.509849845	1.491306069	1.681060425	1.312889161	0.622321635	1.698101794	0.959413857	1.389980289	0.529715753	0.879341968	0.704298372	-0.297219879	0.465729905	1.470356502	1.72117536	1.141081813	0.456960463	1.543375347	0.953602123	1.303645096	1.761299505	1.375894895	1.395757748	0.411857112	1.876352992	0.781092557	1.521510863
