subjectID	cluster_id
LCC1001	2
LCC1002	2
LCC1003	2
LCC1004	2
LCC1005	2
LCC1006	2
LCC1007	2
LCC1008	2
LCC1009	2
LCC1010	2
LCC1011	2
LCC1012	2
LCC1013	2
LCC1014	2
LCC1015	2
LCC1016	2
LCC1017	2
LCC1018	2
LCC1019	2
LCC1020	2
LCC1021	2
LCC1022	2
LCC1023	2
LCC1024	2
LCC1025	2
LCC1026	1
LCC1027	2
LCC1028	2
LCC1029	2
LCC1030	2
LCC1031	2
LCC1032	2
LCC1033	2
LCC1034	1
LCC1035	2
LCC1036	2
LCC1037	2
LCC1038	2
LCC1039	2
LCC1040	2
LCC1041	2
LCC1042	1
LCC1043	2
LCC1044	2
LCC1045	2
LCC1046	2
LCC1047	2
LCC1048	2
LCC1049	1
LCC1050	2
LCC1051	2
LCC1052	2
LCC1053	1
LCC1054	2
LCC1055	2
LCC1056	2
LCC1057	1
LCC1058	2
LCC1059	2
LCC1060	2
LCC1061	2
LCC1062	2
LCC1063	2
LCC1064	2
LCC1065	1
LCC1066	2
LCC1067	2
LCC1068	1
LCC1069	2
LCC1070	2
LCC1071	2
LCC1072	1
LCC1073	2
LCC1074	2
LCC1075	2
LCC1076	2
LCC1077	2
LCC1078	2
LCC1079	2
LCC1080	2
LCC1081	2
LCC1082	2
LCC1083	2
LCC1084	1
LCC1085	2
LCC1086	2
LCC1088	2
LCC1089	2
LCC1090	2
LCC1091	2
LCC1093	2
LCC1094	2
LCC1095	2
LCC1096	2
LCC1097	2
LCC1098	2
LCC1099	2
LCC1100	2
LCC1101	2
LCC1102	2
LCC1103	1
LCC1104	2
LCC1105	2
LCC1106	1
LCC1108	2
LCC1109	2
LCC1110	2
LCC1111	2
LCC1112	2
LCC1113	1
LCC1114	2
LCC1115	2
LCC1116	2
LCC1117	2
LCC1118	1
LCC1119	1
LCC1120	1
LCC1121	2
LCC1122	1
LCC1123	1
LCC1124	1
LCC1125	1
LCC1126	2
LCC1127	2
LCC1128	2
LCC1129	1
LCC1130	2
LCC1131	2
LCC1132	1
LCC1133	2
LCC1134	2
LCC1135	2
LCC1136	1
LCC1137	2
LCC1138	1
LCC1139	2
LCC1140	2
LCC1141	2
LCC1142	2
LCC1143	2
LCC1145	1
LCC1146	1
LCC1147	2
LCC1148	2
LCC1149	1
LCC1150	2
LCC1151	2
LCC1152	1
LCC1153	2
LCC1154	2
LCC1155	2
LCC1156	2
LCC1157	2
LCC1158	2
LCC1159	2
